Order,Run,Label,Area_Mean,BoundingBoxArea_Mean,Compactness_Mean,ConvexArea_Mean,Eccentricity_Mean,EquivalentDiameter_Mean,Extent_Mean,FormFactor_Mean,MajorAxisLength_Mean,MaxFeretDiameter_Mean,MaximumRadius_Mean,MeanRadius_Mean,MedianRadius_Mean,MinFeretDiameter_Mean,MinorAxisLength_Mean,Perimeter_Mean,Solidity_Mean,Area_Std,BoundingBoxArea_Std,Compactness_Std,ConvexArea_Std,Eccentricity_Std,EquivalentDiameter_Std,Extent_Std,FormFactor_Std,MajorAxisLength_Std,MaxFeretDiameter_Std,MaximumRadius_Std,MeanRadius_Std,MedianRadius_Std,MinFeretDiameter_Std,MinorAxisLength_Std,Perimeter_Std,Solidity_Std,DistanceTraveled_Max,DistanceTraveled_Mean,DistanceTraveled_Std,Speed_Max,Speed_Mean,Speed_Std,Linearity_Mean,Linearity_Std,MeanderRatio_Mean,MeanderRatio_Std,FinalAge,Displacement,IntegratedDistance
62,7,13,87.92857142857143,115.92857142857143,1.0147564106652158,93.07142857142857,0.6243363214823071,10.448487071861337,0.7606413311245244,0.9927015491088359,12.220855324762134,11.649960171877158,4.482655051117288,2.0307204692375356,1.7489486695884693,8.296449434536566,9.130070070955478,33.13495669063178,0.9478332622601227,28.154694336590005,37.71444180786878,0.09687762612707636,30.54999505404539,0.1661251909613762,1.731285211739367,0.04440379140546659,0.08222083018006099,2.2311578358415627,2.1465176075083394,0.8629667832852216,0.2726456317224968,0.300832142823628,1.9368357990779081,1.9676132110191389,6.3156912914651775,0.026520724512221972,40.19257408623977,8.871632003460245,11.704569928141284,12.366945872689161,2.7297329241416137,3.6014061317357795,0.47828913493668607,0.3035854361287798,3.8657593886834802,3.638591430650553,9,29.173310526148654,108.2589913958079
63,7,14,73.9,124.2,1.2693161146884904,84,0.7802487066920725,9.583766790291492,0.5940905039701831,0.8078000632916368,13.147304942337419,12.30535689321237,3.593400350893291,1.7254169370827674,1.4899494936611666,7.061813509310112,7.707317404479164,33.767009357883865,0.8776936599689192,27.3310974695289,32.78482033570482,0.2146125690665141,29.672284112357183,0.12731538150007105,1.5789646626242342,0.10296881454044556,0.13402580367092043,2.393387886375544,2.1286907114914078,0.8739907946374974,0.26320160440860046,0.2982364951563579,1.523087867441309,1.575178847397508,5.922255488523459,0.058692721611655306,17.503032482234904,3.4704723308619787,5.482297802983205,5.385548456072278,1.067837640265224,1.6868608624563708,0.5899550798852066,0.28462733637958265,2.2120544014479746,1.3166944497667734,9,18.6941143117809,26.91983271128126
64,7,15,95.125,122.25,0.9716407020266672,100.125,0.4197037675979865,10.995831728433455,0.7784004820936639,1.0314627292465315,11.647905373825395,11.349807942674845,5.042685635357671,2.1747256490628204,2,9.58660037876272,10.43964180960909,34.026019100214135,0.949105558375593,8.492643875731515,7.086203900134804,0.0491681678358703,6.8334785118143575,0.11814596004751644,0.48825788608482945,0.05615461005607257,0.051449877397525934,0.7724184378916812,0.9602735707792465,0.28550022858614105,0.10276653251335284,0,0.44631706892156736,0.47357473194858807,1.3498703976881488,0.030499577362084848,6.796339983705298,5.362673842380113,1.0552440263895906,2.091181533447784,1.6500534899631116,0.32469046965833553,0.8998276395761661,0.07854375897022668,1.11857233313155,0.09714405163274155,8,34.1319312379242,37.538716896660794
65,7,16,148.75,194.875,1.0452382339242088,157.75,0.5482391463200744,13.601074655842229,0.7664912735311087,0.9651830344100985,15.581995577913043,14.999700577345676,5.8521763756090825,2.5092790124039848,2.2513695269677583,11.285682374636522,12.08657343611095,43.902543263816604,0.9483031042829533,51.853502430267085,68.36548314547544,0.10717769900372033,58.32115519138096,0.188032129749728,2.243759723719262,0.07035619241482731,0.09449850418285273,4.165729363833069,3.665901968913875,0.3810236869471396,0.244356843533579,0.36033435997044166,1.4829814293317047,1.180227504664019,9.468971450516767,0.02341361833317198,7.490074534611963,2.7932523953714155,3.1309923822289525,2.304638318342142,0.8594622754988971,0.9633822714550623,0.6578877139675585,0.2898169082172748,1.9911802842814745,1.2941349879541133,8,5.59680436632032,19.55276676759991
66,7,17,364.6,602.9,1.5749441164666338,426.4,0.7396741896894986,21.53867840478827,0.6058537782021164,0.6431761569018429,28.057614725640285,28.84224818415431,7.507414240424051,3.107936021880909,2.862741699796952,19.086976874200502,18.54525025076016,84.72346314604056,0.8556651288600473,19.967751779083972,41.002574444918835,0.18832710014228823,20.53290042833696,0.07842150620057613,0.5854443569230453,0.02892821552301912,0.07674103297844817,1.754111288265092,2.114689282047882,0.5150311993550283,0.17126175743211325,0.07234147606746381,0.8205463351785373,0.9950086566845022,4.480411466805048,0.03976852948046723,6.5485640119878035,2.157894195527821,2.1187523942805835,2.014942772919324,0.663967444777791,0.6519238136247949,0.5676957105439586,0.2172333056589887,2.0565843170487663,0.97124544248619,10,9.59458763617939,19.421047759750387
67,7,18,150.4,219.2,1.1597370133967453,163.2,0.7148612217898382,13.790147970949256,0.6976767797419972,0.8750031801109828,17.115185264516896,16.662199982878242,5.6533375020515635,2.4093544575806622,2.118033988749895,11.0895741804636,11.528601714212067,46.75878784786799,0.9274293052612383,28.41048319820618,58.73443056107153,0.15211868438335613,37.49311047823765,0.11052761744641171,1.2142882997837778,0.058683472000687,0.10859143120411326,2.6260370522548744,2.5757613179995014,0.3940883824972837,0.08796649265375386,0.11128351180739647,1.2421600918205555,1.0238302045833207,7.032324185059133,0.03295910412192046,3.8168482400793673,1.6187648011447624,1.406510878601428,1.1744148431013437,0.4980814772753115,0.4327725780312086,0.41957714869214724,0.32500697291306946,3.745889886760021,2.471144080450259,10,4.536870295353182,14.56888321030286
68,7,19,166.42105263157896,244.6315789473684,1.1043287801664419,179.57894736842104,0.6438672089940359,14.130817784744181,0.6896234988705855,0.9137371124172488,16.626686785625523,16.18006402573346,5.745988208920491,2.4959262979639645,2.242164534710081,11.586500123156386,12.344447264005492,47.09116348123494,0.9352634500247494,91.95670224469393,142.02472809976743,0.11163063718866113,103.90503986785973,0.11433084548805875,3.5905990401276315,0.06291678145712351,0.08616971456848277,4.718086155489293,4.754559416088896,1.1227142348391215,0.40469680015709547,0.37127900458925567,3.5068586099574506,3.11168225771973,14.568401394262475,0.022295470015121794,15.249663337762936,5.6614614709593,4.326079258590356,4.6922041039270574,1.7419881449105539,1.3311013103354945,0.7247030721192591,0.2407064902686947,1.6101728046078012,0.7653969840510062,9,31.40260773431361,42.941020457158345
69,7,20,105.4,158.4,1.1519688018867105,112.8,0.8037632704223492,11.575241530137115,0.6688843598469267,0.8743306925158084,15.32664121654378,15.274365630434218,4.871477664211886,2.084662202060363,2,8.814023140289247,9.033541073822873,39.026197667087544,0.9351162582754677,8.48789988421426,18.839674448708855,0.10867645425203445,9.942054337230532,0.03316846338840259,0.4867483197198817,0.041713956678391145,0.07396755741208068,1.238260274304017,1.5612511321265827,0.2762956690952303,0.05704290927758361,0,0.4864795101836367,0.327358427768357,2.961188744145601,0.022022813414959187,3.3231349236320264,1.0138412378688513,1.2456438404105064,1.0225030534252388,0.3119511501134927,0.3832750278186173,0.4675218868429919,0.3961753537061518,13.151219121760148,25.295464070110185,10,0.5617243021608285,9.12457114081966
70,7,23,93.57142857142857,125.28571428571429,1.0037866036268575,99.57142857142857,0.5526387274636463,10.814887453314237,0.7470830756545043,0.9988428985209645,12.3027303611669,11.762047043692982,4.778934620393046,2.0945069715477906,1.8744743347942348,8.929112054241081,9.624436981716913,34.12777775753261,0.937716888521812,28.324648528899953,36.2248270560136,0.055813467884291916,29.17108810024715,0.19889949331869647,1.593704667671926,0.05137871663213983,0.05491075087418378,2.71299408164679,2.535736099362875,0.4344512358637809,0.20567944412300876,0.2304471522052563,0.9688784529200155,0.946587295949241,5.898357440364343,0.015417957324739872,22.747194914697022,10.564912111495756,6.930785893217594,6.999136896829853,3.2507421881525405,2.1325495056054136,0.9634458520368238,0.025364114125804683,1.0385428686302296,0.02744148366158675,7,61.625613268290664,63.38947266897455
71,7,25,72.625,97.375,0.9802470074643762,76.875,0.6383826757342187,9.605674350052979,0.7514872206917661,1.0233087947487443,11.017018922692245,10.504248890781383,4.16016447636713,1.9280519203518796,1.926776695296637,7.624584596229834,8.440775501797646,29.86180553784104,0.9447001655838392,7.0089228844380935,12.81670227253708,0.05819997600459264,7.199950396654529,0.055114725904943325,0.4781419001874203,0.07683116539068112,0.06087337237727618,0.537861149250711,0.5714695247648336,0.27883744280853706,0.08508472518315617,0.2071067811865475,0.6115537088649866,0.545683615451008,1.671096468648088,0.0278802780771939,8.89912029217286,2.928901773896304,2.9917336470479565,2.738190859130111,0.9012005458142474,0.9205334298609098,0.9736643703502763,0.012234279585162006,1.0271844235290726,0.012671675651852562,8,19.96013357520084,20.502312417274126
